MitocartaID	MitocartaGene	UniprotNameMatches	UniprotBlastID	UniprotBlastName	BlastIdentity	BlastIdentityNoGaps	BlastCoverage
NP_001001985	Nat8l	0	Q3UGX3	NAT8L	0.996655518394649	0.996655518394649	1
NP_001034675	Glyctk	0	Q8QZY2	GLCTK	0.992351816443595	0.992351816443595	1
NP_001034799	Coq10b	0	Q3THF9	CQ10B	0.995833333333333	0.995833333333333	0.991735537190083
NP_001157829	Slc25a25	0	A2ASZ8	SCMC2	0.997601918465228	0.997601918465228	0.830677290836653
NP_001158031	Trmt1	0	Q3TX08	TRM1	0.996983408748115	0.996983408748115	1
NP_001240826	Ecsit	0	Q9QZH6	ECSIT	0.997701149425287	0.997701149425287	1
NP_031407	Acadl	0	P51174	ACADL	0.993023255813953	0.993023255813953	1
NP_031479	Prdx6	0	O08709	PRDX6	0.995535714285714	0.995535714285714	1
NP_031559	Bckdha	0	P50136	ODBA	0.993212669683258	0.993212669683258	0.991031390134529
NP_031599	C1qbp	0	O35658	C1QBP	0.989247311827957	0.992805755395683	1
NP_032418	Acod1	0	P54987	IRG1	0.997950819672131	0.997950819672131	1
NP_032736	Nnt	0	Q61941	NNTM	0.998158379373849	0.998158379373849	1
NP_032823	Pcx	0	Q05920	PYC	0.999151103565365	0.999151103565365	1
NP_035017	Ndufs4	0	Q9CXZ1	NDUS4	0.994285714285714	0.994285714285714	1
NP_035597	Spr	0	Q64105	SPRE	0.996168582375479	0.996168582375479	0.99618320610687
NP_038632	Mtx1	0	P47802	MTX1	0.996845425867508	0.996845425867508	0.68763557483731
NP_057918	Auh	0	Q9JLZ3	AUHM	0.993630573248408	0.993630573248408	1
NP_058593	Timm23	0	Q9WTQ8	TIM23	0.990430622009569	0.990430622009569	1
NP_066356	Tk2	0	Q9R088	KITM	0.992592592592593	0.992592592592593	1
NP_075718	Fastk	0	Q9JIX9	FASTK	0.998043052837573	0.998043052837573	0.937614678899083
NP_077246	Hagh	0	Q99KB8	GLO2	0.996763754045307	0.996763754045307	1
NP_080138	Acad8	0	Q9D7B6	ACAD8	0.997578692493947	0.997578692493947	1
NP_080495	Uqcrb	0	Q9D855	QCR7	0.990990990990991	0.990990990990991	1
NP_080774	Mrps11	0	Q9DCA2	RT11	0.994764397905759	0.994764397905759	1
NP_080934	Mto1	0	Q923Z3	MTO1	0.998505231689088	0.998505231689088	1
NP_081044	Mrps18a	0	Q99N85	RT18A	0.994897959183674	0.994897959183674	1
NP_081170	Tamm41	0	Q3TUH1	TAM41	0.997032640949555	0.997032640949555	1
NP_081451	Ndufaf1	0	Q9CWX2	CIA30	0.996951219512195	0.996951219512195	0.993939393939394
NP_081520	Ndufa11	0	Q9D8B4	NDUAB	0.99290780141844	0.99290780141844	0.986013986013986
NP_083905	Fahd2a	0	Q3TC72	FAHD2	0.996805111821086	0.996805111821086	1
NP_112419	Ide	0	Q9JHR7	IDE	0.995093228655545	0.995093228655545	1
NP_444394	Mrpl43	0	Q99N89	RM43	0.992424242424242	0.992424242424242	0.830188679245283
NP_478121	Recql4	0	Q75NR7	RECQ4	0.993421052631579	0.993421052631579	1
NP_570962	Rtn4ip1	0	Q924D0	RT4I1	0.997474747474748	0.997474747474748	1
NP_598531	Coq8b	0	Q566J8	COQ8B	0.99812382739212	0.99812382739212	1
NP_659050	Tmem143	0	Q8VD26	TM143	0.997816593886463	0.997816593886463	1
NP_660129	Gtpbp6	0	Q3U6U5	GTPB6	0.998054474708171	0.998054474708171	1
NP_666218	Lyplal1	0	Q3UFF7	LYPL1	0.99581589958159	0.99581589958159	1
NP_705789	Nudt6	0	Q8CH40	NUDT6	0.993610223642173	0.996794871794872	1
NP_705799	Hscb	0	Q8K3A0	HSC20	0.995726495726496	0.995726495726496	1
NP_766018	Sphkap	0	Q6NSW3	SPKAP	0.981624184943687	0.998793727382388	1
NP_766548	Adck5	0	Q80V03	ADCK5	0.998281786941581	0.998281786941581	1
NP_780533	Acad11	0	Q80XL6	ACD11	0.998716302952503	0.998716302952503	1
NP_849204	Adck2	0	Q6NSR3	ADCK2	0.99837925445705	0.99837925445705	1
NP_898909	Mrps10	0	Q80ZK0	RT10	0.99375	0.99375	1
NP_898962	Pld6	0	Q5SWZ9	PLD6	0.992805755395683	0.992805755395683	0.945578231292517
NP_942128	Mrpl48	0	Q8JZS9	RM48	0.990521327014218	0.990521327014218	1
