xiphophorus_groups/OG0000213.fa:1:>sp|P40305|IFI27_HUMAN
xiphophorus_groups/OG0000213.fa:21:>tr|Q8C6G0|Q8C6G0_MOUSE
xiphophorus_groups/OG0000280.fa:19:>sp|P49753|ACOT2_HUMAN
xiphophorus_groups/OG0000280.fa:72:>sp|Q9QYR9|ACOT2_MOUSE
xiphophorus_groups/OG0000300.fa:1:>sp|P07195|LDHB_HUMAN
xiphophorus_groups/OG0000300.fa:22:>sp|Q9BYZ2|LDH6B_HUMAN
xiphophorus_groups/OG0000300.fa:37:>tr|Q8BVP2|Q8BVP2_MOUSE
xiphophorus_groups/OG0000300.fa:59:>sp|P16125|LDHB_MOUSE
xiphophorus_groups/OG0000305.fa:41:>sp|Q9P291|ARMX1_HUMAN
xiphophorus_groups/OG0000305.fa:50:>sp|Q9UH62|ARMX3_HUMAN
xiphophorus_groups/OG0000305.fa:58:>sp|Q8N2F6|ARM10_HUMAN
xiphophorus_groups/OG0000305.fa:65:>sp|Q7L311|ARMX2_HUMAN
xiphophorus_groups/OG0000305.fa:118:>sp|Q6A058|ARMX2_MOUSE
xiphophorus_groups/OG0000305.fa:133:>sp|Q8BHS6|ARMX3_MOUSE
xiphophorus_groups/OG0000305.fa:141:>sp|Q9CX83|ARMX1_MOUSE
xiphophorus_groups/OG0000305.fa:150:>sp|Q9D0L7|ARM10_MOUSE
xiphophorus_groups/OG0000390.fa:1:>sp|Q16526|CRY1_HUMAN
xiphophorus_groups/OG0000390.fa:34:>sp|P97784|CRY1_MOUSE
xiphophorus_groups/OG0000391.fa:1:>sp|Q8TD30|ALAT2_HUMAN
xiphophorus_groups/OG0000391.fa:21:>sp|Q8BGT5|ALAT2_MOUSE
xiphophorus_groups/OG0000455.fa:1:>sp|P12236|ADT3_HUMAN
xiphophorus_groups/OG0000455.fa:7:>sp|P05141|ADT2_HUMAN
xiphophorus_groups/OG0000455.fa:13:>sp|P12235|ADT1_HUMAN
xiphophorus_groups/OG0000455.fa:19:>sp|P48962|ADT1_MOUSE
xiphophorus_groups/OG0000455.fa:25:>sp|P51881|ADT2_MOUSE
xiphophorus_groups/OG0000481.fa:15:>sp|P17612|KAPCA_HUMAN
xiphophorus_groups/OG0000481.fa:29:>sp|P05132|KAPCA_MOUSE
xiphophorus_groups/OG0000485.fa:1:>sp|P02794|FRIH_HUMAN
xiphophorus_groups/OG0000485.fa:6:>sp|Q8N4E7|FTMT_HUMAN
xiphophorus_groups/OG0000485.fa:22:>sp|P09528|FRIH_MOUSE
xiphophorus_groups/OG0000485.fa:27:>sp|Q9D5H4|FTMT_MOUSE
xiphophorus_groups/OG0000554.fa:34:>tr|Q8C635|Q8C635_MOUSE
xiphophorus_groups/OG0000594.fa:1:>sp|P33121|ACSL1_HUMAN
xiphophorus_groups/OG0000594.fa:14:>sp|Q9UKU0|ACSL6_HUMAN
xiphophorus_groups/OG0000594.fa:27:>sp|P41216|ACSL1_MOUSE
xiphophorus_groups/OG0000594.fa:40:>sp|Q91WC3|ACSL6_MOUSE
xiphophorus_groups/OG0000623.fa:1:>sp|O43865|SAHH2_HUMAN
xiphophorus_groups/OG0000623.fa:23:>sp|Q80SW1|SAHH2_MOUSE
xiphophorus_groups/OG0000673.fa:1:>sp|Q13268|DHRS2_HUMAN
xiphophorus_groups/OG0000673.fa:12:>sp|Q9BTZ2|DHRS4_HUMAN
xiphophorus_groups/OG0000673.fa:24:>tr|Q149L0|Q149L0_MOUSE
xiphophorus_groups/OG0000673.fa:30:>sp|Q99LB2|DHRS4_MOUSE
xiphophorus_groups/OG0000701.fa:4:>sp|Q16548|B2LA1_HUMAN
xiphophorus_groups/OG0000701.fa:12:>tr|O55179|O55179_MOUSE
xiphophorus_groups/OG0000704.fa:12:>sp|O15270|SPTC2_HUMAN
xiphophorus_groups/OG0000704.fa:23:>sp|P97363|SPTC2_MOUSE
xiphophorus_groups/OG0000705.fa:1:>sp|Q02318|CP27A_HUMAN
xiphophorus_groups/OG0000705.fa:11:>sp|Q9DBG1|CP27A_MOUSE
xiphophorus_groups/OG0000722.fa:7:>sp|O75828|CBR3_HUMAN
xiphophorus_groups/OG0000722.fa:19:>sp|Q8K354|CBR3_MOUSE
xiphophorus_groups/OG0000729.fa:12:>sp|Q16798|MAON_HUMAN
xiphophorus_groups/OG0000729.fa:35:>sp|Q8BMF3|MAON_MOUSE
xiphophorus_groups/OG0000735.fa:15:>sp|Q969P6|TOP1M_HUMAN
xiphophorus_groups/OG0000735.fa:41:>sp|Q8R4U6|TOP1M_MOUSE
xiphophorus_groups/OG0000742.fa:1:>sp|Q92523|CPT1B_HUMAN
xiphophorus_groups/OG0000742.fa:15:>sp|P50416|CPT1A_HUMAN
xiphophorus_groups/OG0000742.fa:29:>sp|P97742|CPT1A_MOUSE
xiphophorus_groups/OG0000742.fa:43:>sp|Q924X2|CPT1B_MOUSE
