MitocartaID	MitocartaGene	UniprotNameMatches	UniprotBlastID	UniprotBlastName	BlastIdentity	BlastIdentityNoGaps	BlastCoverage
NP_001013423	Tcaim	0	Q66JZ4	TCAIM	1	1	0.980353634577603
NP_001036135	Mterf1b	0	B9EJ57	MTF1B	1	1	0.994750656167979
NP_001038209	Gcdh	0	Q60759	GCDH	1	1	0.979865771812081
NP_001139529	Acot7	0	Q91V12	BACH	1	1	0.9921875
NP_001139556	Fastkd5	0	Q7TMV3	FAKD5	1	1	0.944237918215613
NP_001152882	Guk1	0	Q64520	KGUA	1	1	0.956521739130435
NP_001177286	Naxd	0	Q9CZ42	NNRD	1	1	0.960244648318043
NP_031774	Cox6a1	0	P43024	CX6A1	1	1	0.991071428571429
NP_034121	Cyp11b2	0	P15539	C11B2	1	1	0.99601593625498
NP_038739	Txnrd2	0	Q9JLT4	TRXR2	1	1	0.994307400379507
NP_064377	Aldh9a1	0	Q9JLJ2	AL9A1	1	1	0.953667953667954
NP_075370	Dap3	0	Q9ER88	RT29	1	1	0.987373737373737
NP_079780	Dmac2	0	Q9D7K5	DMAC2	1	1	0.980544747081712
NP_079827	Ndufa12	0	Q7TMF3	NDUAC	1	1	0.973154362416107
NP_079852	Ptpmt1	0	Q66GT5	PTPM1	1	1	0.739463601532567
NP_083270	Pck2	0	Q8BH04	PCKGM	1	1	0.95952023988006
NP_663335	Idi1	0	P58044	IDI1	1	1	0.802120141342756
NP_663402	Atpaf2	0	Q91YY4	ATPF2	1	1	0.969798657718121
NP_663499	Mettl8	0	A2AUU0	METL8	1	1	0.713917525773196
NP_758456	Mrpl21	0	Q9D1N9	RM21	1	1	0.87037037037037
NP_851383	Atpaf1	0	Q811I0	ATPF1	1	1	0.931034482758621
