MitocartaID	MitocartaGene	UniprotNameMatches	UniprotBlastID	UniprotBlastName	BlastIdentity	BlastIdentityNoGaps	BlastCoverage
NP_000746	CRAT	0	P43155	CACP	0.998402555910543	0.998402555910543	1
NP_001010845	ACSM2A	0	Q08AH3	ACS2A	0.998266897746967	0.998266897746967	1
NP_001036096	SDHAF1	0	A6NFY7	SDHF1	0.991304347826087	0.991304347826087	1
NP_001138740	FAM185A	0	Q8N0U4	F185A	0.997448979591837	0.997448979591837	1
NP_001171634	HADH	0	Q16836	HCDH	0.945619335347432	0.996815286624204	1
NP_001186768	BCL2L2	0	Q92843	B2CL2	0.994818652849741	0.994818652849741	1
NP_001243327	BCO2	0	Q9BYV7	BCDO2	0.997005988023952	0.997005988023952	0.660079051383399
NP_001907	CYC1	0	P08574	CY1	0.996923076923077	0.996923076923077	1
NP_002446	MTX1	1	Q13505	MTX1	0.997854077253219	0.997854077253219	1
NP_004251	RECQL4	0	O94761	RECQ4	0.999172185430464	0.999172185430464	1
NP_004554	PCK2	0	Q16822	PCKGM	0.9984375	0.9984375	1
NP_005006	OXA1L	1	Q15070	OXA1L	0.997701149425287	0.997701149425287	0.878787878787879
NP_005923	MIPEP	1	Q99797	MIPEP	0.99859747545582	0.99859747545582	1
NP_036359	GTPBP6	0	O43824	GTPB6	0.998062015503876	0.998062015503876	1
NP_056512	COQ2	1	Q96H96	COQ2	0.997304582210243	0.997304582210243	0.881235154394299
NP_057095	MECR	1	Q9BV79	MECR	0.997319034852547	0.997319034852547	1
NP_057119	COQ4	1	Q9Y3A0	COQ4	0.99622641509434	0.99622641509434	1
NP_059142	MRPL39	0	Q9NYK5	RM39	0.997041420118343	0.997041420118343	1
NP_061176	DHTKD1	0	Q96HY7	DHTK1	0.998911860718172	0.998911860718172	1
NP_065796	AARS2	0	Q5JTZ9	SYAM	0.998984771573604	0.998984771573604	1
NP_067653	MYG1	1	Q9HB07	MYG1	0.99468085106383	0.99468085106383	1
NP_078969	ECHDC3	0	Q96DC8	ECHD3	0.993399339933993	0.993399339933993	1
NP_620149	LYPLAL1	0	Q5VWZ2	LYPL1	0.9957805907173	0.9957805907173	1
NP_872384	THEM5	1	Q8N1Q8	THEM5	0.995951417004049	0.995951417004049	1
NP_886552	TRNT1	1	Q96Q11	TRNT1	0.997695852534562	0.997695852534562	1
NP_997227	SPRYD4	0	Q8WW59	SPRY4	0.995169082125604	0.995169082125604	1
