MitocartaID	MitocartaGene	UniprotNameMatches	UniprotBlastID	UniprotBlastName	BlastIdentity	BlastIdentityNoGaps	BlastCoverage
NP_000007	ACADM	1	P11310	ACADM	1	1	1
NP_000008	ACADS	1	P16219	ACADS	1	1	1
NP_000009	ACADVL	0	P49748	ACADV	1	1	1
NP_000010	ACAT1	0	P24752	THIL	1	1	1
NP_000021	AGXT	0	P21549	SPYA	1	1	1
NP_000023	ALAS2	0	P22557	HEM0	1	1	1
NP_000024	ABCD1	1	P33897	ABCD1	1	1	1
NP_000047	BCKDHB	0	P21953	ODBB	1	1	1
NP_000088	CPOX	0	P36551	HEM6	1	1	1
NP_000089	CPT2	1	P23786	CPT2	1	1	1
NP_000099	DLD	0	P09622	DLDH	1	1	1
NP_000107	TAZ	1	Q16635	TAZ	0.897260273972603	1	1
NP_000117	ETFA	1	P13804	ETFA	1	1	1
NP_000131	FECH	0	P22830	HEMH	1	1	1
NP_000134	FH	0	P07954	FUMH	1	1	1
NP_000135	FXN	0	Q16595	FRDA	1	1	1
NP_000150	GCDH	1	Q92947	GCDH	1	1	1
NP_000161	GLDC	0	P23378	GCSP	1	1	1
NP_000173	HADHA	0	P40939	ECHA	1	1	1
NP_000174	HADHB	0	P55084	ECHB	1	1	1
NP_000182	HMGCL	1	P35914	HMGCL	1	1	1
NP_000231	MAOA	0	P21397	AOFA	1	1	1
NP_000246	MMUT	0	P22033	MUTA	1	1	1
NP_000265	OAT	1	P04181	OAT	1	1	1
NP_000273	PCCA	1	P05165	PCCA	1	1	1
NP_000275	PDHA1	0	P08559	ODPA	1	1	1
NP_000300	PPOX	1	P50336	PPOX	1	1	1
NP_000311	QDPR	0	P09417	DHPR	1	1	1
NP_000340	STAR	1	P49675	STAR	1	1	1
NP_000373	ALDH3A2	0	P51648	AL3A2	1	1	1
NP_000378	SLC25A20	0	O43772	MCAT	1	1	1
NP_000389	CYB5R3	0	P00387	NB5R3	1	1	1
NP_000399	GPD2	0	P43304	GPDM	1	1	1
NP_000405	HSD17B4	0	P51659	DHB4	1	1	1
NP_000427	OXCT1	0	P55809	SCOT1	1	1	1
NP_000445	SOD1	0	P00441	SODC	1	1	1
NP_000447	SUOX	1	P51687	SUOX	1	1	1
NP_000472	AMT	0	P48728	GCST	1	1	1
NP_000488	CYP11B1	0	P15538	C11B1	1	1	1
NP_000489	CYP11B2	0	P19099	C11B2	1	1	1
NP_000522	OTC	1	P00480	OTC	1	1	1
NP_000523	PCCB	1	P05166	PCCB	1	1	1
NP_000572	GPX1	1	P07203	GPX1	1	1	1
NP_000624	BCL2	1	P10415	BCL2	1	1	1
