MitocartaID	MitocartaGene	UniprotNameMatches	UniprotBlastID	UniprotBlastName	BlastIdentity	BlastIdentityNoGaps	BlastCoverage	Type
NP_001001503	NDUFV3	0	P56181	NDUV3	1	1	1	interacting
NP_001001935	ATP5F1A	0	P25705	ATPA	1	1	1	interacting
NP_001001973	ATP5F1C	0	P36542	ATPG	1	1	1	interacting
NP_001001975	ATP5F1D	0	P30049	ATPD	1	1	1	interacting
NP_001002027	ATP5MC1	0	P05496	AT5G1	1	1	1	interacting
NP_001002031	ATP5MC2	0	Q06055	AT5G2	1	1	0.898089171974522	interacting
NP_001002258	ATP5MC3	0	P48201	AT5G3	1	1	1	interacting
NP_001003696	ATP5PF	0	P18859	ATP5J	1	1	1	interacting
NP_001003713	ATP5MF	0	P56134	ATPK	0.936170212765957	1	1	interacting
NP_001003785	ATP5PD	0	O75947	ATP5H	0.850931677018634	1	1	interacting
NP_001003803	DMAC2L	0	Q99766	ATP5S	1	1	1	interacting
NP_001014990	MRPL22	0	Q9NWU5	RM22	1	1	1	interacting
NP_001035526	YARS2	0	Q9Y2Z4	SYYM	1	1	1	interacting
NP_001077083	EARS2	0	Q5JPH6	SYEM	1	1	1	interacting
NP_001119603	POLG	0	P54098	DPOG1	1	1	1	interacting
NP_001129470	NDUFB11	0	Q9NX14	NDUBB	1	1	1	interacting
NP_001159574	NDUFV1	0	P49821	NDUV1	0.980603448275862	1	1	interacting
NP_001161205	VARS2	0	Q5ST30	SYVM	1	1	1	interacting
NP_001171908	NDUFS5	0	O43920	NDUS5	1	1	1	interacting
NP_001171915	NDUFC1	0	O43677	NDUC1	1	1	1	interacting
NP_001186886	NDUFB5	0	O43674	NDUB5	0.724867724867725	1	1	interacting
NP_001186910	NDUFS1	0	P28331	NDUS1	0.950481430536451	1	1	interacting
NP_001186916	NDUFB6	0	O95139	NDUB6	0.7578125	1	1	interacting
NP_001190984	NDUFC2	0	O95298	NDUC2	0.80672268907563	1	1	interacting
NP_001230180	NARS2	0	Q96I59	SYNM	1	1	1	interacting
NP_001244031	NDUFB3	0	O43676	NDUB3	1	1	1	interacting
NP_001265208	MRPL45	0	Q9BRJ2	RM45	0.836601307189543	1	1	interacting
NP_001265574	NDUFB9	0	Q9Y6M9	NDUB9	1	1	1	interacting
NP_001265660	HARS2	0	P49590	SYHM	0.950592885375494	1	1	interacting
NP_001269348	NDUFA5	0	Q16718	NDUA5	0.870689655172414	1	1	interacting
NP_001271297	NDUFB8	0	O95169	NDUB8	1	1	1	interacting
NP_001273677	MRPS27	0	Q92552	RT27	0.967289719626168	1	1	interacting
