MitocartaID	MitocartaGene	UniprotNameMatches	UniprotBlastID	UniprotBlastName	BlastIdentity	BlastIdentityNoGaps	BlastCoverage
NP_000687	ALDH9A1	0	P49189	AL9A1	1	1	0.953667953667954
NP_001001563	TIMM50	0	Q3ZCQ8	TIM50	1	1	0.774122807017544
NP_001002031	ATP5MC2	0	Q06055	AT5G2	1	1	0.898089171974522
NP_001029344	SLC25A52	0	Q3SY17	S2552	1	1	0.96742671009772
NP_001068566	MOCS1	1	Q9NZB8	MOCS1	1	1	0.994805194805195
NP_001185808	ATP5MF-PTCD1	0	O75127	PTCD1	1	1	0.934579439252336
NP_001271330	TAMM41	0	Q96BW9	TAM41	1	1	0.928783382789317
NP_001856	COX7A2	0	P14406	CX7A2	1	1	0.721739130434783
NP_002481	NDUFA6	0	P56556	NDUA6	1	1	0.831168831168831
NP_003312	TUFM	0	P49411	EFTU	1	1	0.993406593406593
NP_004499	IDI1	1	Q13907	IDI1	1	1	0.799295774647887
NP_004536	NDUFB1	0	O75438	NDUB1	1	1	0.552380952380952
NP_005784	NME6	0	O75414	NDK6	1	1	0.958762886597938
NP_036591	TIMM8B	0	Q9Y5J9	TIM8B	1	1	0.846938775510204
NP_055153	PISD	1	Q9UG56	PISD	1	1	0.805333333333333
NP_079046	METTL8	0	Q9H825	METL8	1	1	0.705159705159705
NP_112233	SFXN3	1	Q9BWM7	SFXN3	1	1	0.987692307692308
NP_660325	SLC25A48	0	Q6ZT89	S2548	1	1	0.89171974522293
NP_857635	PRDX5	1	P30044	PRDX5	1	1	0.552
NP_958928	SLC25A35	0	Q3KQZ1	S2535	1	1	0.823728813559322
